claim_id,location,text,value,unit,source_file,source_variable,code,raw_dependency,status,severity,note
Q011,Abstract; Results; Discussion; tables,Sano: Modeled rooftop PV capacity,44.2963968067,MWp,analysis/dg_results.csv,pv_kwp_total,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q012,Abstract; Results; Discussion; tables,Kudamatsu: LTP percentage,2.54408290217,%,analysis/scenario_results.csv,ltp_pct,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q013,Abstract; Results; Discussion; tables,Kudamatsu: NPC difference,0.186258650381,bn JPY,analysis/scenario_results.csv,delta_npc,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q014,Abstract; Results; Discussion; tables,Kudamatsu: Conductor upsizing distance,7.91520456038,km,analysis/scenario_results.csv,upsize_km,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q015,Abstract; Results; Discussion; tables,Kudamatsu: Peak-loss reduction,60.1301824378,%,analysis/scenario_results.csv,derived loss reduction,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q016,Abstract; Results; Discussion; tables,Kudamatsu: Maximum voltage drop,31.1232367282,%,analysis/scenario_results.csv,max_vdrop,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-but-invalid-primary-model,CRITICAL,Voltage infeasibility invalidates primary scenario inclusion and the same-model argument.
Q017,Abstract; Results; Discussion; tables,Kudamatsu: Mean edge-set distance,0.108539361156,fraction,analysis/scenario_results.csv,mean_tld,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q018,Abstract; Results; Discussion; tables,Kudamatsu: Cluster-level positive value fraction,0.767441860465,fraction,analysis/scenario_results.csv,p_ltp_pos,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q019,Abstract; Results; Discussion; tables,Kudamatsu: Monte Carlo probability of positive value,0.728,probability,analysis/sensitivity_mc.csv,p_ltp_pos,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q020,Abstract; Results; Discussion; tables,Kudamatsu: Modeled rooftop PV capacity,11.3436010932,MWp,analysis/dg_results.csv,pv_kwp_total,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q021,Abstract; Results; Discussion; tables,Yasu: LTP percentage,11.7189992162,%,analysis/scenario_results.csv,ltp_pct,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q022,Abstract; Results; Discussion; tables,Yasu: NPC difference,0.626649140783,bn JPY,analysis/scenario_results.csv,delta_npc,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q023,Abstract; Results; Discussion; tables,Yasu: Conductor upsizing distance,6.47917613812,km,analysis/scenario_results.csv,upsize_km,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q024,Abstract; Results; Discussion; tables,Yasu: Peak-loss reduction,64.9804148093,%,analysis/scenario_results.csv,derived loss reduction,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q025,Abstract; Results; Discussion; tables,Yasu: Maximum voltage drop,37.7830352531,%,analysis/scenario_results.csv,max_vdrop,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-but-invalid-primary-model,CRITICAL,Voltage infeasibility invalidates primary scenario inclusion and the same-model argument.
Q026,Abstract; Results; Discussion; tables,Yasu: Mean edge-set distance,0.0670518370518,fraction,analysis/scenario_results.csv,mean_tld,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q027,Abstract; Results; Discussion; tables,Yasu: Cluster-level positive value fraction,0.8,fraction,analysis/scenario_results.csv,p_ltp_pos,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q028,Abstract; Results; Discussion; tables,Yasu: Monte Carlo probability of positive value,1,probability,analysis/sensitivity_mc.csv,p_ltp_pos,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q029,Abstract; Results; Discussion; tables,Yasu: Modeled rooftop PV capacity,14.3483874029,MWp,analysis/dg_results.csv,pv_kwp_total,scripts/p07_optimize.py; scripts/p10_sensitivity.py; scripts/p08_dg.py,OSM inputs; modeled demand; reconstruction ensemble; config/study.yaml,reproducible-original-model,MAJOR,Must be regenerated after the feasibility repair.
Q030,Methods,Sano municipal record count,9519,rows,analysis/data_audit.csv,rows,scripts/p03_data_audit.py,data/raw/sano/sano_security_lights.csv,reproducible,MINOR,Pole-ID semantics and license require source-level verification.
Q031,Methods,Sano duplicated pole-field values,391,count,analysis/data_audit.csv,pole_dupes,scripts/p03_data_audit.py,data/raw/sano/sano_security_lights.csv,reproducible,MAJOR,"duplicated() counts repeated rows, not distinct multi-light poles."
Q032,Methods,Kudamatsu municipal record count,4227,rows,analysis/data_audit.csv,rows,scripts/p03_data_audit.py,three Kudamatsu municipal CSVs,reproducible,MINOR,License and dataset completeness require source verification.
Q033,Methods,Nominal cluster target,350,kW,scripts/p06_reconstruct.py,CLUSTER_KW,scripts/p06_reconstruct.py,assumption only,hard-coded-unfrozen,CRITICAL,This structural assumption produces infeasible LV feeders and is not in the frozen configuration.
Q034,Methods,Reconstruction replicate count,12,count,config/study.yaml,reconstruction.n_replicates,scripts/p06_reconstruct.py,assumption only,config-backed,MAJOR,Twelve replicates have no convergence evidence.
Q035,Methods,LV conductor options,150;250;400;600,mm2,scripts/p07_optimize.py,CONDUCTOR_SIZES,scripts/p07_optimize.py,assumption only,hard-coded-unfrozen,MAJOR,"Sizes, ampacities, reactances, and cost provenance are absent."
Q036,Methods,Usable rooftop fraction,0.3,fraction,config/study.yaml,dg.rooftop_fraction_usable,scripts/p08_dg.py,OSM building footprints plus assumption,config-backed-weak-evidence,MAJOR,Requires provenance and sensitivity; S3 must be secondary.
Q037,Methods,PV density,0.15,kWp/m2,scripts/p08_dg.py,PV_KW_M2,scripts/p08_dg.py,assumption only,hard-coded-unfrozen,MAJOR,No source or uncertainty range is recorded.
Q038,Methods,PV loss-reduction cap,50,%,scripts/p08_dg.py,loss_red_frac cap,scripts/p08_dg.py,assumption only,hard-coded-unfrozen,MAJOR,The cap is not a power-flow or reverse-flow constraint.
Q039,Sensitivity,Monte Carlo draws,500,draws,config/study.yaml,sensitivity.n_mc,scripts/p10_sensitivity.py,scenario/cost assumptions,config-backed-insufficient-resolution,MAJOR,"No convergence study, material correlation model, or topology re-optimization."
Q040,Sensitivity,Discount-rate range,2-4.5,%,scripts/p10_sensitivity.py,draws.R,scripts/p10_sensitivity.py,assumption only,hard-coded-unfrozen,MAJOR,Range differs from the config comment and lacks cost-model provenance.
Q041,Sensitivity,Electricity-value range,15-35,JPY/kWh,scripts/p10_sensitivity.py,draws.EKWH,scripts/p10_sensitivity.py,assumption only,hard-coded-unfrozen,MAJOR,Range differs from the config comment and lacks a price-year source.
Q042,Discussion,CIGRE LV model validation claim,validated,claim,analysis/benchmark_validation.csv,converged,scripts/p04_benchmark.py,pandapower bundled network,unsupported,CRITICAL,Convergence alone is not quantitative validation; the stored 0.912 pu minimum is outside the stated 0.95 pu gate.
Q043,Discussion,Iwamoto 11-bus convergence,false,boolean,analysis/benchmark_validation.csv,converged,scripts/p04_benchmark.py,pandapower bundled network,reproducible-but-undiagnosed,MAJOR,Failure cause and suitability were not investigated.
