source_id,description,source_url,data_identifier_or_version,retrieval_date_utc,retrieval_time_precision,retrieval_conditions,local_path,size_bytes,sha256,license_or_terms,snapshot_status
OSM-CACHE-db82e432,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-db82e432,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/db82e432da0bdfe1637596f294502613943b0db1.json,122395,18a7a080b033cea39a7aa41843fc1d94c9e8ad400b58c4aad81e15aac7e3e73a,ODbL,persisted and checksum-verified
OSM-CACHE-e55904cc,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-e55904cc,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/e55904ccfbb620ccb7795002160ec6a9d363c2d7.json,27642109,87ca3de6b96b61f46cfd7bec9d2f8292524fd05d6ac6db3b7c744ff98c1bf548,ODbL,persisted and checksum-verified
OSM-CACHE-e806f5d6,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-e806f5d6,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/e806f5d6e08388773d14b3c69ee95cf009af1333.json,2335493,4df6dd2f1d53860dd088c475712cce3a234ac93e82f013b4621c237cd172a98b,ODbL,persisted and checksum-verified
OSM-KUDAMATSU-ROAD,OpenStreetMap road graph snapshot for kudamatsu,https://overpass-api.de/api/interpreter,OSM-KUDAMATSU-ROAD,2026-09-24,date; exact time unavailable,OSMnx municipality query saved as a persistent snapshot,data/raw/osm_kudamatsu.graphml,3516871,40b95db3a615fdfac3857cc37a975ba7022279ef5abae784baf50dfc2b8e9db6,ODbL,persisted and checksum-verified
OSM-KUDAMATSU-BUIL,OpenStreetMap building footprints snapshot for kudamatsu,https://overpass-api.de/api/interpreter,OSM-KUDAMATSU-BUIL,2026-09-24,date; exact time unavailable,OSMnx municipality query saved as a persistent snapshot,data/raw/osm_kudamatsu_buildings.geojson,2642386,6c7fc4a1b928aec01e607beba73ca0f029e3497f3563304460392d594243f481,ODbL,persisted and checksum-verified
OSM-SANO-ROAD,OpenStreetMap road graph snapshot for sano,https://overpass-api.de/api/interpreter,OSM-SANO-ROAD,2026-09-24,date; exact time unavailable,OSMnx municipality query saved as a persistent snapshot,data/raw/osm_sano.graphml,7851101,46dbf60b9820f5550808db5f0020aee1edfcab49e43902189f9bcc378f881387,ODbL,persisted and checksum-verified
OSM-SANO-BUIL,OpenStreetMap building footprints snapshot for sano,https://overpass-api.de/api/interpreter,OSM-SANO-BUIL,2026-09-24,date; exact time unavailable,OSMnx municipality query saved as a persistent snapshot,data/raw/osm_sano_buildings.geojson,86330047,4af10f51d66bd68525c1efa618a687f917593dcb191ae4d3ed071b056ea23f5f,ODbL,persisted and checksum-verified
OSM-YASU-ROAD,OpenStreetMap road graph snapshot for yasu,https://overpass-api.de/api/interpreter,OSM-YASU-ROAD,2026-09-24,date; exact time unavailable,OSMnx municipality query saved as a persistent snapshot,data/raw/osm_yasu.graphml,3003505,a5940caa38e301a6c374a27b48db9615aa973ee3856d569a77433e4f1ed4f03e,ODbL,persisted and checksum-verified
OSM-YASU-BUIL,OpenStreetMap building footprints snapshot for yasu,https://overpass-api.de/api/interpreter,OSM-YASU-BUIL,2026-09-24,date; exact time unavailable,OSMnx municipality query saved as a persistent snapshot,data/raw/osm_yasu_buildings.geojson,6034537,807e0bc2750995c8d0cf911489dc7474efdd5acb14f3765f358a475d1b4d0988,ODbL,persisted and checksum-verified
SANO-SEC-001,Sano City security-light inventory,https://www.city.sano.lg.jp/material/files/group/17/100.csv,SANO-SEC-001,2026-09-24,date; exact time unavailable,single municipal CSV snapshot,data/raw/sano/sano_security_lights.csv,592279,69c1026c9888c89cb9a894cc7b688c723aa105a151b1678ecda270f0103f7034,Sano City open-data terms,persisted and checksum-verified
